Account ID,Subscription Year,user age,contact_id,job_id,education_id,housing_id,marital_id
11256,2022,56,1,10,30,0,41
11257,2022,57,1,11,31,0,41
11258,2022,37,1,11,31,1,41
11259,2022,40,1,12,32,0,41
11260,2022,56,1,11,31,0,41
11261,2022,45,1,11,33,0,41
11262,2022,59,1,12,34,0,41
11263,2022,41,1,13,35,0,41
11264,2022,24,1,14,34,1,42
11265,2022,25,1,11,31,1,42
11266,2022,41,1,13,35,0,41
11267,2022,25,1,11,31,1,42
11268,2022,29,1,13,31,0,42
11269,2022,57,1,10,30,1,43
11270,2022,35,1,13,32,1,41
11271,2022,54,1,15,33,1,41
11272,2022,35,1,13,32,1,41
11273,2022,46,1,13,32,1,41
11274,2022,50,1,13,33,1,41
11275,2022,39,1,16,33,0,42
11276,2022,30,1,17,31,0,41
11277,2022,55,1,13,30,1,41
11278,2022,55,1,15,31,1,42
11279,2022,41,1,14,31,1,42
11280,2022,37,1,12,31,1,41
11281,2022,35,1,14,36,0,41
11282,2022,59,1,14,35,1,41
11283,2022,39,1,18,33,0,41
11284,2022,54,1,14,36,0,42
11285,2022,55,1,19,36,2,41
11286,2022,46,1,12,35,0,41
11287,2022,59,1,14,35,1,41
11288,2022,49,1,13,35,0,41
11289,2022,54,1,16,30,1,41
11290,2022,54,1,13,30,0,43
11291,2022,55,1,19,30,1,41
11292,2022,34,1,11,31,0,41
11293,2022,52,1,14,33,1,41
11294,2022,41,1,12,36,1,41
11295,2022,56,1,14,30,1,41
11296,2022,58,1,16,36,1,44
11297,2022,32,1,20,31,1,41
11298,2022,38,1,12,34,0,42
11299,2022,57,1,12,36,0,41
11300,2022,44,1,12,36,1,41
11301,2022,42,1,14,34,0,42
11302,2022,57,1,12,36,1,41
11303,2022,40,1,13,33,0,41
11304,2022,35,1,12,36,1,41
11305,2022,45,1,13,33,1,41
11306,2022,54,1,12,31,0,41
11307,2022,39,1,10,30,0,41
11308,2022,60,1,12,31,0,41
11309,2022,53,1,12,34,0,42
11310,2022,55,1,13,30,0,41
11311,2022,55,1,14,34,1,41
11312,2022,50,1,16,36,0,41
11313,2022,45,1,11,31,1,41
11314,2022,55,1,17,34,1,41
11315,2022,25,1,14,36,1,42
11316,2022,47,1,20,36,0,41
11317,2022,51,1,13,33,1,41
11318,2022,42,1,13,32,1,41
11319,2022,42,1,13,32,0,41
11320,2022,48,1,12,31,0,41
11321,2022,37,1,12,36,0,41
11322,2022,44,1,13,33,1,42
11323,2022,33,1,12,35,1,41
11324,2022,56,1,12,33,1,41
11325,2022,44,1,13,30,1,42
11326,2022,41,1,16,32,0,41
11327,2022,44,1,16,36,1,43
11328,2022,47,1,12,36,1,41
11329,2022,57,1,19,35,0,41
11330,2022,37,1,12,36,1,41
11331,2022,41,1,13,30,1,43
11332,2022,55,1,14,36,0,41
11333,2022,33,1,11,31,1,41
11334,2022,55,1,16,35,1,41
11335,2022,42,1,13,33,0,41
11336,2022,50,1,13,30,1,41
11337,2022,51,1,13,30,2,41
11338,2022,38,1,12,31,0,41
11339,2022,49,1,20,36,1,41
11340,2022,38,1,14,36,0,42
11341,2022,31,1,12,31,0,43
11342,2022,41,1,16,32,0,41
11343,2022,39,1,12,36,1,41
11344,2022,49,1,14,33,0,41
11345,2022,34,1,12,31,1,41
11346,2022,35,1,12,36,1,41
11347,2022,57,1,19,35,1,41
11348,2022,60,1,12,35,0,41
11349,2022,33,1,17,33,0,41
11350,2022,42,1,13,32,0,41
11351,2022,45,1,11,34,1,41
11352,2022,42,1,16,36,0,41
11353,2022,53,1,12,36,0,43
11354,2022,37,1,14,34,0,42
11355,2022,44,1,13,32,0,41
11356,2022,54,1,11,35,1,41
11357,2022,49,1,13,30,0,41
11358,2022,54,1,11,35,0,41
11359,2022,52,1,12,36,0,43
11360,2022,52,1,12,36,0,43
11361,2022,43,1,11,31,0,42
11362,2022,34,1,10,32,1,41
11363,2022,35,1,12,31,1,41
11364,2022,42,1,20,35,1,41
11365,2022,43,1,14,35,1,41
11366,2022,60,1,15,36,0,43
11367,2022,58,1,17,30,0,41
11368,2022,35,1,11,31,1,43
11369,2022,55,1,13,33,1,41
11370,2022,37,1,16,36,0,41
11371,2022,36,1,13,31,0,41
11372,2022,52,1,12,36,0,43
11373,2022,57,1,13,35,1,43
11374,2022,56,1,12,35,1,41
11375,2022,48,1,13,30,1,43
11376,2022,40,1,13,31,1,41
11377,2022,49,1,13,31,0,43
11378,2022,41,1,11,31,0,41
11379,2022,45,1,14,31,1,41
11380,2022,32,1,12,36,1,41
11381,2022,42,1,12,36,0,41
11382,2022,50,1,12,32,0,41
11383,2022,31,1,14,34,1,43
11384,2022,56,1,15,30,1,41
11385,2022,41,1,14,34,1,41
11386,2022,37,1,13,32,1,41
11387,2022,41,1,14,34,0,41
11388,2022,35,1,13,35,1,41
11389,2022,37,1,13,32,1,41
11390,2022,52,1,16,36,0,41
11391,2022,39,1,16,36,0,43
11392,2022,39,1,10,30,0,41
11393,2022,56,1,13,30,0,41
11394,2022,34,1,11,31,1,41
11395,2022,45,1,13,33,1,41
11396,2022,43,1,17,36,1,42
11397,2022,56,1,16,35,1,41
11398,2022,39,1,16,36,1,41
11399,2022,53,1,13,30,1,41
11400,2022,38,1,19,31,1,43
11401,2022,42,1,13,30,1,41
11402,2022,42,1,13,30,0,41
11403,2022,35,1,12,31,1,42
11404,2022,40,1,12,36,1,41
11405,2022,51,1,13,30,1,41
11406,2022,60,1,13,33,0,41
11407,2022,56,1,20,35,1,41
11408,2022,39,1,11,31,1,43
11409,2022,56,1,20,35,0,41
11410,2022,40,1,13,35,1,41
11411,2022,36,1,13,33,1,41
11412,2022,51,1,13,35,1,41
11413,2022,51,1,13,35,0,41
11414,2022,43,1,14,34,1,42
11415,2022,59,1,11,31,0,41
11416,2022,24,1,16,36,1,42
11417,2022,37,1,13,33,1,42
11418,2022,40,1,13,33,0,41
11419,2022,42,1,13,33,0,41
11420,2022,39,1,11,31,0,43
11421,2022,37,1,20,32,0,41
11422,2022,38,1,11,31,1,41
11423,2022,56,1,12,35,0,43
11424,2022,40,1,13,35,0,41
11425,2022,54,1,16,36,1,43
11426,2022,43,1,13,31,0,41
11427,2022,36,1,11,31,0,41
11428,2022,45,1,14,36,1,41
11429,2022,42,1,12,36,0,42
11430,2022,43,1,11,31,0,41
11431,2022,46,1,16,33,0,41
11432,2022,44,1,11,31,1,41
11433,2022,51,1,12,32,0,42
11434,2022,28,1,11,31,1,41
